order_id,order_date,delivery_date,customer_id,customer_name,segment,city,region,category,sub_category,product_name,payment_mode,quantity,unit_price,discount,revenue,profit,shipping_cost,order_status,year,month
ORD-2023-100000,2023-01-01,2023-01-10,CUST-9634,Rohit Verma,Retail,Ahmedabad,West,Clothing,Apparel,Puma Sneakers,Credit Card,3,1736.25,0.05,4948.31,1414.7,44.98,Delivered,2023,1
ORD-2023-100001,2023-01-01,2023-01-07,CUST-5517,Sunita Joshi,B2B,Chennai,South,Beauty,Personal Care,WOW Shampoo,Debit Card,3,942.42,0.0,2827.26,320.96,37.05,Delivered,2023,1
ORD-2023-100002,2023-01-01,2023-01-03,CUST-1882,Rahul Sharma,Retail,Indore,Central,Home & Kitchen,Appliances,Tupperware Set,Debit Card,4,6623.35,0.0,26493.4,5554.79,169.68,Delivered,2023,1
ORD-2023-100003,2023-01-01,2023-01-04,CUST-1865,Anjali Patel,Retail,Chennai,South,Home & Kitchen,Appliances,Eureka Forbes Vacuum,Debit Card,4,6070.36,0.1,21853.3,813.65,50.64,Delivered,2023,1
ORD-2023-100004,2023-01-01,2023-01-10,CUST-6127,Neha Gupta,Retail,Delhi,North,Electronics,Gadgets,Sony Headphones,Credit Card,3,12458.51,0.0,37375.53,10031.73,168.24,Delivered,2023,1
ORD-2023-100005,2023-01-01,2023-01-09,CUST-6413,Anjali Patel,B2B,Delhi,North,Electronics,Gadgets,Dell Laptop,UPI,5,8428.07,0.0,42140.35,2988.42,181.88,Returned,2023,1
ORD-2023-100006,2023-01-01,2023-01-07,CUST-6367,Anjali Patel,Wholesale,Kolkata,East,Electronics,Gadgets,Canon Camera,UPI,2,12845.04,0.0,25690.08,3786.27,144.37,Delivered,2023,1
ORD-2023-100007,2023-01-02,2023-01-09,CUST-2016,Neha Gupta,Retail,Ahmedabad,West,Beauty,Personal Care,Mamaearth Serum,Net Banking,4,1200.18,0.2,3840.58,84.29,63.14,Delivered,2023,1
ORD-2023-100008,2023-01-02,2023-01-05,CUST-8072,Rohit Verma,Retail,Delhi,North,Home & Kitchen,Appliances,Tupperware Set,Credit Card,5,4566.15,0.15,19406.14,2702.41,190.44,Delivered,2023,1
ORD-2023-100009,2023-01-02,2023-01-04,CUST-1138,Priya Singh,B2B,Delhi,North,Home & Kitchen,Appliances,Milton Bottle,Cash on Delivery,5,4076.99,0.2,16307.96,316.49,98.72,Delivered,2023,1
ORD-2023-100010,2023-01-02,2023-01-06,CUST-4381,Rahul Sharma,Retail,Jaipur,North,Electronics,Gadgets,iPad Air,Credit Card,3,8563.29,0.15,21836.39,1354.14,64.25,Delivered,2023,1
ORD-2023-100011,2023-01-02,2023-01-05,CUST-3663,Sanjay Tiwari,Retail,Jaipur,North,Beauty,Personal Care,Mamaearth Serum,Debit Card,2,956.79,0.1,1722.22,129.03,88.36,Returned,2023,1
ORD-2023-100012,2023-01-02,2023-01-11,CUST-7159,Vikram Mehta,Retail,Surat,West,Books,Education,Rich Dad Poor Dad,Debit Card,4,888.53,0.0,3554.12,906.07,188.54,Delivered,2023,1
ORD-2023-100013,2023-01-02,2023-01-10,CUST-6481,Sunita Joshi,B2B,Surat,West,Electronics,Gadgets,JBL Speaker,Debit Card,2,14378.93,0.15,24444.18,1380.24,83.76,Delivered,2023,1
ORD-2023-100014,2023-01-03,2023-01-09,CUST-6972,Deepak Agarwal,Retail,Chennai,South,Electronics,Gadgets,Boat Earbuds,Net Banking,4,9968.0,0.0,39872.0,9369.39,36.86,Delivered,2023,1
ORD-2023-100015,2023-01-03,2023-01-06,CUST-9075,Kavya Nair,Wholesale,Patna,East,Electronics,Gadgets,HP Pavilion,Cash on Delivery,5,7256.56,0.3,25397.96,3849.89,167.46,Delivered,2023,1
ORD-2023-100016,2023-01-03,2023-01-09,CUST-3665,Deepak Agarwal,Wholesale,Kolkata,East,Clothing,Apparel,Adidas Hoodie,Credit Card,4,2122.94,0.2,6793.41,-67.2,189.02,Returned,2023,1
ORD-2023-100017,2023-01-03,2023-01-05,CUST-1654,Anjali Patel,Retail,Chennai,South,Clothing,Apparel,Zara Dress,Credit Card,1,1397.21,0.15,1187.63,301.45,64.82,Delivered,2023,1
ORD-2023-100018,2023-01-03,2023-01-06,CUST-5196,Amit Kumar,Wholesale,Bhopal,Central,Clothing,Apparel,Manyavar Sherwani,Cash on Delivery,2,2890.93,0.0,5781.86,876.78,98.88,Delivered,2023,1
ORD-2023-100019,2023-01-03,2023-01-08,CUST-4407,Meera Iyer,Retail,Pune,West,Electronics,Gadgets,Sony Headphones,UPI,4,8383.82,0.1,30181.75,1207.37,71.23,Delivered,2023,1
ORD-2023-100020,2023-01-03,2023-01-06,CUST-6565,Anjali Patel,Wholesale,Mumbai,West,Home & Kitchen,Appliances,Eureka Forbes Vacuum,UPI,3,4549.88,0.2,10919.71,1344.92,144.59,Delivered,2023,1
